time,ecg
0.0,0.00178475826673812
0.004,0.00891912232023792
0.008,-0.015011761604116665
0.012,-0.009515790549470063
0.016,-0.0027925672802191904
0.02,-0.013327940776341116
0.024,-0.002717167640385787
0.028,-0.003263489471352493
0.032,0.0008710658656117274
0.036,-0.0005688342910697592
0.04,0.010693485294074356
0.044,0.0057300469449311185
0.048,-0.0007103127543766262
0.052,-0.0033326235518453345
0.056,-0.0004755810991048123
0.06,-0.0002986104290864268
0.064,0.025187562908851855
0.068,-0.014575272127511914
0.072,-0.009262750430983221
0.076,-0.010729259346949942
0.08,0.0026927168382693046
0.084,0.0022967334663220335
0.088,-0.005730717934939827
0.092,0.008961176671209568
0.096,0.0036965686444630262
0.1,0.009381003146720945
0.104,0.01203454352911591
0.108,-0.021310448859382873
0.112,0.006856166740291395
0.116,-0.012900604723710072
0.12,0.0024941262471765047
0.124,-0.0007289600486802335
0.128,-0.00030213750588172633
0.132,-0.012046213313376334
0.136,0.01030486543170421
0.14,-0.012904949582297272
0.144,0.0075053366396207345
0.148,-0.014318902477619744
0.152,-0.0001785568149520531
0.156,0.018043922084154663
0.16,0.023616328729357938
0.164,-0.016187132355572502
0.168,-0.007045249813699628
0.172,-0.005226308478762268
0.176,0.022551218050887903
0.18,-0.0006817768961995857
0.184,0.010749810415255944
0.188,0.003003645789348633
0.192,-0.011978832654861297
0.196,-0.01857182545369053
0.2,-0.006080598101011637
0.204,0.02326294826994736
0.208,0.0027480803369928147
0.212,0.010849618895333693
0.216,-0.01365204729170505
0.22,-0.002355815721543235
0.224,0.00926517678279141
0.228,-0.008540376779083706
0.232,0.0030718230674448795
0.236,-0.0031353321555853235
0.24,0.016684558264325768
0.244,0.016190038407617798
0.248,0.024077354760249952
0.252,0.03245725375129687
0.256,0.02959867560919769
0.26,0.05173791228715179
0.264,0.04728965078222431
0.268,0.07237482213515847
0.272,0.06040323936296632
0.276,0.08715326118922224
0.28,0.13208038759687005
0.284,0.12833141869261422
0.288,0.139791652140924
0.292,0.1342743357560671
0.296,0.13715013117871008
0.3,0.14735639835760903
0.304,0.14742095089226667
0.308,0.16165796694152942
0.312,0.14386757749505602
0.316,0.12331081803794589
0.32,0.10957948360041957
0.324,0.10219823068967222
0.328,0.06692481350884379
0.332,0.046904122019460724
0.336,0.06062201309300658
0.34,0.042425721706531035
0.344,0.018754259693778134
0.348,0.002797694914994101
0.352,0.026182168541304857
0.356,0.006989321314335799
0.36,0.01242282126021297
0.364,0.0030247287509934584
0.368,0.0033691072497635728
0.372,-0.0035512144319233695
0.376,0.0007116373029646552
0.38,0.006667135798559998
0.384,-0.002226906875244337
0.388,-0.0030223563093300324
0.392,0.006247326639826673
0.396,0.0068360148528203695
0.4,-0.011324585022221735
0.404,-0.00026291607598179174
0.408,-0.005224537274078426
0.412,0.00014226481953575807
0.416,0.01433346029367939
0.42,0.0035408434292311577
0.424,0.02141306182935216
0.428,0.001299861972724596
0.432,-0.004640509804421946
0.436,-0.008616316206650584
0.44,-0.01887024273963539
0.444,-0.038458404742877074
0.448,-0.08284885631941542
0.452,-0.11091848763505305
0.456,-0.1445075432202781
0.46,-0.13583784429523324
0.464,-0.14661511802736427
0.468,-0.07878778744071467
0.472,-0.022465949547922102
0.476,0.09795215829096322
0.48,0.22506300311516209
0.484,0.38452430612936855
0.488,0.612976792284739
0.492,0.7746751411377589
0.496,0.9454003190957249
0.5,1.0067788380400948
0.504,0.9593356176673279
0.508,0.7831427962919909
0.512,0.5964135524136839
0.516,0.4079203679162625
0.52,0.22703841851719228
0.524,0.07864437602113863
0.528,-0.030328004826685146
0.532,-0.15803633927140281
0.536,-0.21591469683881234
0.54,-0.24954840035513626
0.544,-0.24926453730080653
0.548,-0.18201613563514568
0.552,-0.1414300542597455
0.556,-0.07453747291880325
0.56,-0.04829213461057921
0.564,-0.009347867368602752
0.568,-0.01234731634372686
0.572,-0.01881508371828254
0.576,0.008976825796080315
0.58,-0.005194766028768326
0.584,-0.003124274987464557
0.588,-0.00820390924954833
0.592,0.013526416502423267
0.596,0.005318369424769582
0.6,-0.002798189490889935
0.604,-0.014917200855893157
0.608,0.03042373143227091
0.612,0.026446105981956125
0.616,0.02270058983183442
0.62,0.0031825194850383966
0.624,0.00752625174748588
0.628,0.019293343372633335
0.632,0.009583894498054114
0.636,0.01240591410013295
0.64,0.04126207085405783
0.644,0.031157023179704504
0.648,0.02625040252736476
0.652,0.053473590407419495
0.656,0.0455041936670344
0.66,0.0395760641810525
0.664,0.05699783643553748
0.668,0.07301261200031872
0.672,0.09105251892473538
0.676,0.10205918790131704
0.68,0.12487103174000752
0.684,0.1231644038551719
0.688,0.1344141745226895
0.692,0.1655338057434776
0.696,0.17721987045903115
0.7,0.17982462163239277
0.704,0.19940458495557628
